1	friends	s01e01_01	별거 없어.	There's nothing to tell.
2	friends	s01e01_01	그냥 같이 일하는 사람이야.	He's just some guy I work with.
3	friends	s01e01_01	너 그 남자랑 사귀는 거잖아.	You're going out with the guy.
4	friends	s01e01_01	분명히 뭔가 문제가 있을 거야.	There's gotta be something wrong with him.
5	friends	s01e01_01	좋게 좀 말해.	Be nice.
6	friends	s01e01_01	나도 같은 일을 겪었어.	I went through the same thing.
7	friends	s01e01_01	내가 듣기엔 데이트 같은데.	Sounds like a date to me.
8	friends	s01e01_01	갑자기 전화가 울리기 시작했어.	All of a sudden, the phone started to ring.
9	friends	s01e01_01	알고 보니 우리 엄마였어.	It turns out it was my mother.
10	friends	s01e01_01	전화를 받는 게 낫겠어.	I'd better answer the phone.
11	friends	s01e01_01	커피 좀 갖다줄게.	Let me get you some coffee.
12	friends	s01e01_01	커피 좀 드릴까요?	Can I get you some coffee?
13	friends	s01e01_01	나 좀 내버려 둬.	Just leave me alone.
14	friends	s01e01_01	난 괜찮을 거야.	I'll be fine.
15	friends	s01e01_01	왜 자꾸 그 얘기만 해?	Why do you keep talking about that?
16	friends	s01e01_01	부모님은 꽤 잘 받아들이셨어.	My parents took it pretty well.
17	friends	s01e01_01	내가 그걸 소리 내서 말했어?	Did I say that out loud?
18	friends	s01e01_01	나 진짜 기겁했어.	I got really freaked out.
19	friends	s01e01_01	그때 딱 깨달았어.	That's when it hit me.
20	friends	s01e01_01	거기서 나와야만 했어.	I had to get out of there.
21	friends	s01e01_01	우리 좀 멀어졌잖아.	We've kinda drifted apart.
22	friends	s01e01_01	그게 문제가 되진 않았으면 했는데.	I was hoping that wouldn't be an issue.
