1	friends	s01e01_02	오늘 밤에 뭐 해?	What're you up to tonight?
2	friends	s01e01_02	이번 주말에 뭐 해?	What are you up to this weekend?
3	friends	s01e01_02	오늘 밤엔 그냥 집에 있을래.	I think I'm just gonna hang out at home tonight.
4	friends	s01e01_02	어제 친구들이랑 놀았어.	I hung out with my friends yesterday.
5	friends	s01e01_02	긴 하루였어.	It's been a long day.
6	friends	s01e01_02	그 사람이 드디어 데이트 신청했어?	Did he finally ask you out?
7	friends	s01e01_02	그녀한테 데이트 신청하고 싶어.	I want to ask her out.
8	friends	s01e01_02	작업 좀 그만 걸어.	Stop hitting on her.
9	friends	s01e01_02	원래 오늘 휴가 떠나기로 되어 있었어.	I was supposed to leave for vacation today.
10	friends	s01e01_02	너 지금 회의 들어가 있어야 하는 거 아니야?	Aren't you supposed to be in a meeting?
11	friends	s01e01_02	아마 잘된 일일 거야.	This is probably for the best.
12	friends	s01e01_02	오늘은 나가고 싶은 기분이 아니야.	I don't feel like going out today.
13	friends	s01e01_02	혼자 있고 싶지 않으면 우리 집에 와.	If you don't feel like being alone, come over.
14	friends	s01e01_02	그러고 싶은데, 못 가.	I wish I could, but I can't.
15	friends	s01e01_02	죄송한데, 성함을 못 들었어요.	Sorry, I didn't catch your name.
16	friends	s01e01_02	좋은 징조는 아니네.	That can't be good.
17	friends	s01e01_02	새 책상 조립하는 거 도와줄래?	Can you help me put together my new desk?
18	friends	s01e01_02	이제 다 괜찮아졌어.	I'm all better now.
19	friends	s01e01_02	그 사람은 복도 건너편에 살아.	He lives across the hall.
20	friends	s01e01_02	(인터폰으로) 문 열어줘.	Buzz him in.
21	friends	s01e01_02	그러면 좋겠다.	That'd be good.
22	friends	s01e01_02	약속 취소할 수 있어.	I can cancel.
23	friends	s01e01_02	나한테는 중요해.	It matters to me.
24	friends	s01e01_02	천천히 숨 쉬어.	Just breathe.
